,Title,Category,Edicts,Portfolio,Anathema,Followers,Pantheon,Plane,Divine Ability,Divine Font,Divine Skill,Favored Weapon,Domains,Cleric Spells
Amehan,'Destroyer',-,"Destroy material plane, Loss","Destruction, Razing Structures, Pillaging, Civilization's End, Despair",Creating beautiful things,"Warlords, pillagers, invaders, nihilists, savages, goblinoids, titans, giants, Vulga, Erevi",-,Destruction,Strength or Dexterity,Harm,Athletics,Mace,"Destruction, Decay, Dust, Pain, Sorrow, Void","1st: Phantom Pain, 6th: Disintegrate, 9th: Disjunction"
Anhalt,'Unrelenting',Ascended,"Unstoppable Will, Sacrifice, Duty to the end","Sacrifice, Honor, Valor, Martyrdom","Ignore duty or orders, Show fear","Warriors, bodyguards, knights, defenders, dwarves, Hurtsvigsen",Dwarven,"Kelzadam, Fortress of the Just",Constitution or Wisdom,Heal or Harm,Athletics,Warhammer,"Confidence, Duty, Fire, Might, Protection, Vigil, Zeal","1st: True Strike, 4th: Fire Shield, 5th: Mantle of the Magma Heart"
B'tolen,'Raven's Flight',Aspects,"Meet new civilizations, constant learning, wondering and wandering","Unbound travel, Learning, Luck, Exploration",Permanent settlers,"Travelers, wanderers, pilgrims, sailors, elves, tribes","Tribal, Elven, Druidic",Evergrowing Forest,Dexterity or Intelligence,Heal or Harm,Society,Longbow,"Air, Change, Freedom, Knowledge, Swarm, Travel","1st: Animal Allies, 2nd: Animal Form, 9th: Shapechange"
Berohath,'Fox's Cunning',Aspects,"Lie and Deceive fools, Take advantage of situations, Spread doubt","Stealth, Thievery, Malice, Luck, Night","Announce intentions, Give back stolen things","Travelers, thieves, bagabonds, beggars, downtrodden, scavengers, rogues, elves, tribes","Tribal, Elven, Goblin",Evergrowing Forest,Dexterity or Intelligence,Harm,Stealth,Dagger,"Darkness, Luck, Moon, Secrecy, Trickery","1st: Invisible Item, 2nd: Invisibility, 5th: Chameleon Coat"
Crel'vach,'The Bear's Fury',Aspects,"Fury of the Wild, Berserker Rage, Unrelenting Combat","Berserkers, warriors, endurance, savagery","Not answering an insult, cowardice","Berserkers, warriors, vanguards, gladiators, orcs, Hurtsvigsen","tribal, orc",Evergrowing Forest,Strength or Constitution,Heal or Harm,Intimidate,Greataxe,"Confidence, Might, Nature, Protection, Zeal","1st: Magic Fang, 2nd: Enlarge, 4th: Weapon Storm"
Disiklek,'The Plague Lord',Chosen,"Spread Disease, Plague and Poisons, Spoil communities and food, Wait to take its course","Disease, Plague, Poison, Cannibalism, Virulent Fungi and Vermin","Stop a plague, cure a disease or poison","Poisoners, Alchemists, Lunatics, Serpentfolk Crimson Steel","Serpentfolk, Demonic",Abyss,Intelligence or Constitution,Harm,Crafting,Scythe,"Decay, Delirium, Pain, Plague, Sorrow","1st: Noxious Vapors, 3rd: Gasping Marsh, 5th: Cloudkill"
Drokasner,'Thunderstrike',Aspects,"Bad Weather, Fury of the Sky, Defiance","Thunder, Storm, Bad Temper","Try to calm or avoid weather, Disrespect the elements","Travellers, mountaineers, sailors, orcs, giants, Hoen","Tribal, Orc, Giant","Elemental Ring, Evergrowing Forest",Constitution or Wisdom,Harm,Survival,Spear,"Air, Confidence, Lightning, Might","1st: Horizon Thunder Sphere, 5th: Stormburst, 6th: Chain Lightning"
Factar,'The Compassionate',"Luminous Walkers, Human","Help those in need, Humility, Aid by example","Healing, Farming, Fertility, Wanderers, Poor","Αrrogance, Egotism above others, Cold shoulder","Hospitalers, Healers, Pilgrims, Travelers, Midwives, Herbalists, Priests, Commonfolk, Luminous Order","Luminous Walkers, halfling",Golden Palace,Wisdom or Charisma,Heal,Medicine,Sickle,"Cities, Family, Healing, Protection, Sun, Travel, Wood","1st: Soothe, 3rd: Cozy Cabin, 6th: Collective Transposition"
Fallfaunt,'Snow's Softness',Aspects,"Cruelty of Cold, Lovestroke, Endurance","Lust, Perdition, Sorrow, Preservance","Change way of life, find new love","Cold sailors, mountaineers, giants, frost creatures, elves, Hoss Glacier","Elemental, tribal, Elven, Giant","Elemental Ring, Evergrowing Forest",Dexterity or Charisma,Harm,Performance,Morningstar,"Cold, Confidence, Nightmares, Passion, Sorrow, Water","1st: Chilling Spray, 5th: Cone of Cold, 8th: Polar Ray"
Fyrlean,'Fire Lord',Primordial,"Renewal with fire, Primal destruction","Fire, Forges, Lava, Liberation","Quenching a fire, Stop a riot","Renegades, smiths, acolytes, alchemists, firefolk, Flame Gulf, Demorado","Elemental, Dark Elf",Elemental Ring,Dexterity or Charisma,Heal or Harm,Crafting,Falchion,"Confidence, Destruction, Dust, Fire, Freedom, Zeal","1st: Burning Hands, 3rd: Fireball, 9th: Meteor Swarm"
